Customer ID,Name,Age,Gender,Email,Phone,City,State,Country,Region,Join Date,Last Purchase,Orders,Average Order Value,Total Revenue,Customer Lifetime Value,Annual Income,Monthly Income,Satisfaction Score,Customer Score,Churn Risk,Segment,Loyalty Level,Favorite Category,Payment Method,Acquisition Channel,Discount Usage (%),Returns,Support Tickets,Website Visits,App Sessions,Wishlist Items,Cart Abandonments,Referral Count,Coupon Used,Premium Member,Newsletter,Days Since Last Purchase
36,Stephanie Key,36,Male,barbara27@example.net,4296717565,Robertfort,Maine,India,East,2022-08-18,2025-11-22,39,615,23985,72934.74,780927,65077,3.2,100.0,48.0,New,Bronze,Home,Net Banking,Facebook,6,9,4,256,26,0,18,9,Yes,Yes,Not Subscribed,241
37,Elaine Morales,48,Male,gibsonleonard@example.com,6808760385,East Josephberg,Maine,India,North,2023-11-14,2025-09-13,63,1106,69678,188148.37,474852,39571,2.9,100.0,51.0,Regular,Silver,Beauty,Cash,Email Campaign,72,9,2,132,30,35,24,13,Yes,No,Not Subscribed,311
38,Samuel Wolfe,46,Female,johnsoncrystal@example.org,4808613171,Robertfort,New Mexico,India,Central,2024-01-11,2026-04-23,40,5158,206320,580722.93,2806977,233914,4.9,100.0,25.5,Premium,Gold,Fashion,Cash,Website,12,6,20,113,67,5,5,7,Yes,No,Not Subscribed,89
39,John Arnold,62,Female,mlee@example.net,1465840449,Ryanstad,Michigan,India,East,2021-10-21,2025-08-23,30,2860,85800,260667.71,2154345,179528,2.7,100.0,53.0,Regular,Silver,Groceries,Debit Card,Instagram,29,8,20,106,108,7,17,7,Yes,Yes,Subscribed,332
40,Andrea Daniels,28,Female,mcantu@example.net,9636057662,Mollymouth,Connecticut,India,Central,2025-10-27,2026-06-09,106,5162,547172,1967138.37,2091943,174328,2.8,100.0,23.0,VIP,Platinum,Sports,Cash,Website,88,9,12,144,128,34,15,14,No,No,Subscribed,42
41,Alicia Bryant,23,Male,robertpena@example.org,7459615865,East Crystalport,Iowa,India,Central,2024-11-30,2026-04-19,3,6764,20292,59819.44,1380411,115034,3.9,49.06,54.5,New,Bronze,Books,Cash,Facebook,97,5,15,270,166,28,29,8,No,Yes,Not Subscribed,93
42,Julie Hamilton,40,Female,hodgesjane@example.org,2400504556,Knightburgh,Hawaii,India,East,2023-06-04,2026-03-13,86,1356,116616,400005.25,1633296,136108,3.5,100.0,45.0,Regular,Silver,Groceries,UPI,Website,63,9,12,286,9,29,2,10,No,Yes,Not Subscribed,130
43,Gregory Lynch,44,Male,pharvey@example.com,3747407482,Daniellechester,Vermont,India,South,2024-07-12,2025-11-14,47,5600,263200,833489.18,2873154,239429,3.6,100.0,44.0,VIP,Platinum,Books,Credit Card,Website,6,6,8,286,33,18,14,22,Yes,Yes,Not Subscribed,249
44,John Bruce,53,Male,yvonnecastaneda@example.org,6959440640,Wallport,Wyoming,India,Central,2023-11-29,2025-11-21,12,2340,28080,106138.71,725890,60490,3.7,66.62,51.0,New,Bronze,Beauty,Debit Card,Facebook,15,4,15,154,130,17,13,15,Yes,No,Subscribed,242
45,Lauren Lawson,56,Male,jeffery39@example.com,1047095214,East Kristin,Mississippi,India,North,2023-03-04,2025-09-27,99,6971,690129,2361257.18,1675540,139628,4.8,100.0,32.0,VIP,Platinum,Groceries,Wallet,Facebook,64,8,0,149,185,19,26,18,Yes,No,Not Subscribed,297
46,Alyssa Mcintyre,40,Female,jonathansummers@example.com,5171236851,South Miguelview,Pennsylvania,India,Central,2025-11-25,2025-11-20,70,3590,251300,599073.07,1599632,133302,4.7,100.0,33.0,VIP,Platinum,Sports,Wallet,Email Campaign,89,7,18,201,59,26,1,10,No,Yes,Not Subscribed,243
47,Parker Little,20,Male,daniel37@example.org,9317461200,East Paigeberg,Missouri,India,Central,2024-12-06,2026-03-07,43,7624,327832,478945.49,2096778,174731,2.7,100.0,53.0,VIP,Platinum,Books,UPI,Google Ads,58,0,4,214,167,9,2,15,No,Yes,Not Subscribed,136
48,Shawn Santiago,61,Female,umatthews@example.org,1796405377,Amystad,Arkansas,India,East,2025-02-19,2025-08-30,92,7769,714748,2268928.0,2519185,209932,2.6,100.0,54.0,VIP,Platinum,Electronics,Wallet,Email Campaign,8,7,20,152,58,5,13,3,No,Yes,Not Subscribed,325
49,Raymond Lopez,19,Male,rushmadison@example.org,9005329318,West Kim,Rhode Island,India,East,2026-02-01,2026-01-06,8,2903,23224,49513.68,2056431,171369,2.9,49.64,63.0,New,Bronze,Fashion,Cash,Referral,67,13,18,97,43,11,2,19,No,Yes,Subscribed,196
50,Aaron Garrison,47,Female,vanessafernandez@example.org,0205395024,Lake Brycemouth,Wyoming,India,West,2023-01-20,2025-12-15,86,576,49536,175216.87,2201413,183451,4.8,100.0,32.0,Regular,Bronze,Sports,Wallet,Instagram,86,5,2,231,88,37,9,20,No,Yes,Not Subscribed,218
51,Michael Wheeler,48,Male,ngordon@example.org,7007661771,North David,South Carolina,India,South,2023-10-06,2025-11-08,74,3440,254560,685914.72,1488287,124023,2.6,100.0,54.0,VIP,Platinum,Groceries,UPI,Email Campaign,84,12,8,9,144,3,29,19,Yes,No,Subscribed,255
52,Cynthia Kelley,58,Male,oscar98@example.com,8961183673,Perryville,Massachusetts,India,Central,2023-01-11,2026-05-14,87,6689,581943,1789133.58,823693,68641,4.1,100.0,23.0,VIP,Platinum,Home,Credit Card,Instagram,80,1,9,230,8,37,11,23,No,Yes,Subscribed,68
53,Ronald Ortega,26,Female,stephanie71@example.org,1615280988,Morganchester,Washington,India,Central,2024-06-08,2026-03-27,117,2732,319644,1073757.33,1327810,110650,4.8,100.0,32.0,VIP,Platinum,Books,Wallet,Referral,61,9,10,63,119,4,4,24,No,No,Subscribed,116
54,Brett Roberts,68,Female,michael98@example.org,7315851493,New Sarahview,Alaska,India,North,2023-02-08,2026-02-03,69,1512,104328,248555.58,1349584,112465,4.0,100.0,40.0,Regular,Silver,Books,Cash,Mobile App,81,11,3,124,120,1,19,17,Yes,No,Not Subscribed,168
55,Henry Park,59,Female,sandra50@example.org,9612018366,Larrymouth,Wyoming,India,North,2022-05-29,2026-05-02,6,804,4824,9606.26,2316217,193018,2.8,40.96,56.0,At Risk,Bronze,Electronics,Net Banking,Referral,30,4,12,237,94,34,13,18,No,No,Not Subscribed,80
56,Shelly Carlson,20,Female,moorekaren@example.org,4767976438,West Erikashire,New York,India,South,2024-02-10,2025-11-30,57,2434,138738,475062.57,666723,55560,5.0,100.0,30.0,Premium,Gold,Fashion,Credit Card,Referral,47,11,1,208,70,12,30,3,Yes,Yes,Not Subscribed,233
57,Alison Parker,33,Male,randallgreene@example.org,4324451076,New Angelica,Texas,India,Central,2022-10-10,2026-03-14,9,7297,65673,209458.07,1118880,93240,4.0,71.13,51.0,Regular,Silver,Books,Debit Card,Website,29,10,4,6,70,9,4,17,Yes,Yes,Subscribed,129
58,Linda Jones,40,Male,grahamsteve@example.org,9696641605,Christopherville,Kansas,India,Central,2023-06-10,2026-05-26,3,1927,5781,10925.83,781663,65138,4.4,51.16,31.0,At Risk,Bronze,Fashion,Net Banking,Google Ads,67,3,2,248,114,23,16,18,Yes,No,Not Subscribed,56
59,Ryan Morales,59,Male,fosterkyle@example.com,5218188355,West James,Rhode Island,India,North,2024-04-22,2026-03-02,109,3790,413110,953586.53,702824,58568,3.7,100.0,43.0,VIP,Platinum,Beauty,Cash,Referral,56,2,2,169,155,9,2,4,No,No,Not Subscribed,141
60,Eric Malone,47,Female,thompsonkendra@example.com,9979955271,Brittanystad,North Carolina,India,North,2026-01-26,2025-12-28,90,1437,129330,441954.38,2980142,248345,4.7,100.0,33.0,Premium,Gold,Electronics,Net Banking,Referral,70,6,13,236,58,26,10,14,No,No,Not Subscribed,205
61,Charles Murray,60,Female,brownmarie@example.org,9986798079,Masonton,New Hampshire,India,East,2022-06-24,2025-10-06,88,4385,385880,530410.04,608044,50670,2.7,100.0,53.0,VIP,Platinum,Electronics,UPI,Referral,12,11,4,289,15,37,30,17,No,No,Not Subscribed,288
62,Dale Nolan,64,Male,toni18@example.net,0377889255,Erikaton,South Dakota,India,East,2024-12-27,2026-02-28,40,3380,135200,198657.67,2378242,198186,3.0,100.0,50.0,Premium,Gold,Groceries,Cash,Mobile App,84,15,7,60,89,35,11,3,No,Yes,Not Subscribed,143
63,Deborah Jones,19,Male,grantpaul@example.com,5192546291,Lisahaven,Colorado,India,East,2025-07-25,2025-10-22,98,3031,297038,1068147.92,1722298,143524,2.5,100.0,55.0,VIP,Platinum,Sports,Debit Card,Facebook,18,12,2,77,189,40,0,2,No,No,Subscribed,272
64,Debbie Henderson,41,Female,andrew42@example.org,7332214188,New Nicholas,Hawaii,India,East,2025-12-23,2025-12-06,73,5384,393032,558454.57,470657,39221,2.9,100.0,51.0,VIP,Platinum,Fashion,Net Banking,Instagram,96,1,2,144,113,27,15,19,Yes,No,Not Subscribed,227
65,Henry Schwartz,25,Female,jenniferwilliams@example.com,7947383473,Hammondfurt,North Carolina,India,Central,2024-05-08,2026-03-12,68,5965,405620,812006.79,1174921,97910,3.5,100.0,45.0,VIP,Platinum,Electronics,UPI,Instagram,76,1,0,109,77,13,24,4,Yes,No,Not Subscribed,131
66,Allison Burch,29,Male,laurietaylor@example.com,7581814124,Davisbury,New Hampshire,India,West,2024-08-10,2025-09-29,91,2385,217035,542735.54,1735484,144623,2.7,100.0,53.0,Premium,Gold,Sports,Net Banking,Google Ads,94,1,13,14,117,4,27,10,No,No,Subscribed,295
67,Nicole Arias,43,Male,gbrown@example.com,6153051522,Port Janice,New Hampshire,India,East,2022-08-02,2026-01-28,103,5563,572989,1373026.01,1767720,147310,2.7,100.0,53.0,VIP,Platinum,Groceries,Debit Card,Instagram,13,7,13,210,134,5,12,9,Yes,Yes,Subscribed,174
68,Christina Bullock,51,Male,scottmary@example.net,1434103697,Lake Zacharybury,Virginia,India,East,2023-08-05,2025-08-19,94,7208,677552,1950097.47,869456,72454,3.1,100.0,49.0,VIP,Platinum,Groceries,Credit Card,Mobile App,18,8,6,93,154,9,24,24,No,No,Not Subscribed,336
69,Douglas Patterson,61,Female,john62@example.net,8518888806,Jontown,Minnesota,India,East,2022-06-21,2026-07-01,57,1059,60363,146029.86,2898221,241518,3.3,100.0,7.0,Regular,Silver,Groceries,Credit Card,Instagram,35,1,11,264,18,19,14,14,No,Yes,Subscribed,20
70,Kristina Cooper,57,Female,ingramjill@example.com,0585277221,North Kylie,Arizona,India,West,2024-11-16,2025-12-02,71,6986,496006,1548131.31,422061,35171,3.6,100.0,44.0,VIP,Platinum,Groceries,Credit Card,Email Campaign,73,6,10,248,128,9,30,1,No,Yes,Subscribed,231
71,Leslie Collins,20,Male,ihays@example.com,0345054156,Terrifort,Vermont,India,West,2024-02-01,2025-08-31,68,4782,325176,905775.82,1776298,148024,3.4,100.0,46.0,VIP,Platinum,Electronics,Wallet,Instagram,36,12,13,178,173,38,1,25,No,Yes,Not Subscribed,324
72,Tyler Glass,36,Female,laurie61@example.com,8451154479,Sergiostad,South Carolina,India,Central,2026-07-09,2026-02-02,20,3230,64600,91209.07,843193,70266,4.8,100.0,32.0,Regular,Silver,Books,Debit Card,Referral,39,12,4,48,79,35,12,20,Yes,No,Not Subscribed,169
73,Whitney Hill,19,Female,jonesdana@example.com,0297021355,Lake Shannon,Mississippi,India,East,2022-08-20,2025-10-24,28,3299,92372,338445.23,2289568,190797,3.0,100.0,50.0,Regular,Silver,Home,Credit Card,Referral,17,4,2,156,25,32,24,17,Yes,No,Subscribed,270
74,Nathan Hines,28,Male,alyssasanders@example.net,3102786814,Heatherfort,Illinois,India,Central,2026-02-27,2026-03-20,116,1856,215296,662051.52,433259,36104,3.5,100.0,45.0,Premium,Gold,Groceries,UPI,Email Campaign,86,7,14,150,192,28,7,17,No,Yes,Not Subscribed,123
75,David Farrell,61,Female,tthompson@example.com,5518844225,Port Dominic,New York,India,West,2025-12-08,2026-01-11,37,6874,254338,557729.75,2462326,205193,3.5,100.0,45.0,VIP,Platinum,Books,Cash,Website,20,6,19,75,64,3,20,15,Yes,No,Subscribed,191
76,Anthony Spencer,66,Male,tanner82@example.net,1467866912,Frazierstad,Florida,India,East,2024-02-22,2026-01-10,116,4705,545780,864027.87,2084892,173741,2.7,100.0,53.0,VIP,Platinum,Electronics,Debit Card,Facebook,28,14,11,18,106,3,12,16,No,Yes,Subscribed,192
77,Natalie Deleon,38,Male,katrinaanderson@example.net,1824225358,Lake Stephanie,Louisiana,India,East,2026-01-22,2026-05-05,19,1627,30913,40174.17,2231619,185968,4.2,86.18,27.5,New,Bronze,Beauty,Cash,Referral,17,15,14,7,20,1,8,6,No,Yes,Not Subscribed,77
78,David Turner,33,Female,shawgary@example.net,2995900109,Montgomerytown,New York,India,North,2021-11-21,2026-03-19,31,3939,122109,349387.37,2862256,238521,3.6,100.0,44.0,Premium,Gold,Home,Wallet,Mobile App,14,15,19,279,4,40,16,18,No,Yes,Not Subscribed,124
79,Pamela Gardner,33,Female,timothy64@example.com,0276773592,Andersonstad,North Carolina,India,South,2025-05-07,2026-03-13,86,1201,103286,264521.63,1762481,146873,2.7,100.0,53.0,Regular,Silver,Home,Wallet,Website,67,0,12,245,11,40,12,11,Yes,No,Subscribed,130
80,Anna Flores,64,Male,cmartinez@example.org,1046963259,Ferrellmouth,New York,India,Central,2025-09-29,2026-06-18,97,3223,312631,483597.93,1727649,143970,3.9,100.0,7.5,VIP,Platinum,Sports,Wallet,Email Campaign,82,5,14,250,161,11,25,4,Yes,No,Subscribed,33
81,Natasha Jimenez,20,Male,landrywilliam@example.org,9500479748,West Jessica,Wisconsin,India,North,2023-05-24,2026-02-01,120,3040,364800,926591.03,2527635,210636,3.7,100.0,43.0,VIP,Platinum,Groceries,UPI,Website,4,6,9,187,199,3,27,20,No,No,Not Subscribed,170
82,Richard Williams,65,Female,hudsonjames@example.net,1687849912,Angelastad,Wisconsin,India,West,2023-07-11,2025-10-14,24,4564,109536,328539.88,1790764,149230,4.8,100.0,32.0,Regular,Silver,Electronics,UPI,Instagram,66,8,2,222,20,27,19,5,Yes,No,Not Subscribed,280
83,Drew Morrison,37,Female,cporter@example.org,5787298259,Brittneyhaven,North Carolina,India,Central,2025-08-24,2026-06-12,55,1865,102575,307046.83,1724494,143707,3.6,100.0,13.5,Regular,Silver,Sports,Wallet,Referral,93,11,19,227,70,40,25,1,No,Yes,Subscribed,39
84,Amanda Erickson,27,Female,thomas05@example.com,6940974993,New Cristina,South Carolina,India,North,2022-05-01,2026-01-11,9,2433,21897,70598.99,1786492,148874,3.4,56.38,57.0,New,Bronze,Electronics,Net Banking,Email Campaign,72,1,19,83,173,28,30,11,Yes,No,Not Subscribed,191
85,Kim James,38,Female,anthonyvaughan@example.org,0756263689,New Mark,Texas,India,South,2022-04-05,2026-02-24,4,6526,26104,43951.96,2421581,201798,3.5,48.22,61.0,New,Bronze,Fashion,Wallet,Facebook,71,3,8,138,180,28,6,19,Yes,Yes,Subscribed,147
86,Timothy Bennett,46,Male,stevepatel@example.net,4973348434,Timothyside,Washington,India,West,2022-02-11,2025-07-21,104,6086,632944,2351804.21,1590448,132537,4.2,100.0,38.0,VIP,Platinum,Books,Wallet,Referral,90,2,17,282,74,19,27,5,Yes,No,Subscribed,365
87,Joshua Martinez,25,Male,zhuang@example.com,4041574733,Derrickshire,Kansas,India,South,2022-12-13,2025-11-17,102,4547,463794,588247.77,2573734,214477,3.9,100.0,41.0,VIP,Platinum,Groceries,Cash,Facebook,59,4,19,49,16,19,12,22,No,Yes,Subscribed,246
88,John Santiago,38,Male,danawilliams@example.com,7120826773,Port Christophershire,Iowa,India,West,2024-03-27,2026-02-15,88,4738,416944,873805.56,2562334,213527,4.1,100.0,39.0,VIP,Platinum,Home,Debit Card,Mobile App,23,4,13,262,14,7,16,4,Yes,No,Not Subscribed,156
89,Amanda Sharp,23,Female,gentrygregory@example.org,6724004991,Smallberg,North Carolina,India,South,2025-03-08,2026-01-29,71,2748,195108,297626.09,1520138,126678,4.0,100.0,40.0,Premium,Gold,Groceries,Cash,Website,11,5,18,83,43,39,23,19,Yes,Yes,Subscribed,173
90,Taylor Lee,59,Female,riverajessica@example.net,2054932966,Caldwellburgh,Florida,India,South,2025-12-03,2025-08-04,74,3912,289488,812616.53,377028,31419,3.7,100.0,43.0,VIP,Platinum,Sports,Net Banking,Instagram,80,9,20,159,123,15,25,25,Yes,Yes,Subscribed,351
91,Thomas Boyle,46,Female,greenjoe@example.com,4990453017,Hannahport,Mississippi,India,West,2024-03-24,2026-05-27,27,3286,88722,246409.09,1561066,130088,4.7,100.0,10.5,Regular,Silver,Sports,UPI,Mobile App,40,11,12,71,194,23,16,17,Yes,No,Not Subscribed,55
92,Christina Robinson,33,Male,timothygibson@example.net,6878339187,North Mariahaven,Illinois,India,North,2021-11-27,2025-11-23,38,3646,138548,477550.85,2003784,166982,3.1,100.0,49.0,Premium,Gold,Sports,Net Banking,Instagram,20,10,18,165,48,10,15,16,Yes,Yes,Not Subscribed,240
